creditamount,country,gender,age,salary,leave
789,Germany,Male,39,124411.08,0
589,Germany,Female,50,34941.23,0
461,Germany,Female,34,167784.28,0
637,France,Male,40,93165.34,0
584,Spain,Female,48,75161.25,1
579,Spain,Female,35,8590.83,1
756,Germany,Male,44,189543.9,0
663,France,Male,34,180427.24,0
682,France,Female,43,193318.33,0
793,Spain,Male,52,159123.82,1
691,France,Female,31,126213.84,1
485,Spain,Female,21,54141.5,0
635,Spain,Female,29,141075.51,0
650,France,Male,37,24495.03,0
735,France,Male,44,74836.34,0
416,France,Male,32,878.87,0
754,Spain,Female,32,89520.75,0
535,France,Female,48,149892.79,1
716,Spain,Male,42,180800.42,0
539,France,Male,37,98646.22,0
614,France,Female,43,109041.53,0
706,Spain,Male,57,17941.16,1
758,France,Female,33,82996.47,0
586,Spain,Female,28,92067.35,0
646,France,Female,73,104719.66,0
631,Germany,Female,33,112687.57,0
717,Spain,Female,22,84699.56,0
684,France,Male,30,83473.82,0
800,France,Female,49,47125.11,0
721,Spain,Female,36,106977.8,0
683,Spain,Male,29,55582.54,1
660,Germany,Male,31,139874.43,0
704,Germany,Female,24,162503.48,1
615,Spain,Female,41,196499.96,0
667,Spain,Female,39,40721.24,1
682,Germany,Male,24,53134.3,0
484,France,Female,29,164017.89,0
628,Germany,Male,27,155996.96,0
480,Germany,Male,44,5472.7,1
578,France,Male,30,112187.11,0
512,France,Male,40,146457.83,0
484,Spain,Female,35,27286.1,0
510,France,Female,30,130553.47,0
606,Germany,Male,36,179351.89,0
597,Spain,Female,40,94774.12,0
754,Germany,Female,55,8080.85,1
850,Spain,Female,45,19482.5,0
510,France,Male,65,48071.61,0
778,Germany,Female,45,174531.27,0
636,France,Male,42,55470.78,0
804,France,Female,50,8546.87,1
514,France,Male,32,95857.18,0
730,France,Female,39,194945.8,0
525,Spain,Female,37,131521.72,0
616,Spain,Male,30,196108.51,0
687,Germany,Female,34,148564.76,0
715,France,Female,41,92982.61,1
512,France,Female,36,17675.36,0
479,France,Male,40,114996.43,0
601,France,Male,32,86957.42,0
580,Spain,Male,29,128077.8,0
807,France,Male,35,600.36,0
616,Spain,Female,32,43001.46,0
721,Germany,Male,37,158591.12,0
501,France,Male,57,47847.19,0
521,France,Male,35,10488.44,0
850,Spain,Male,30,5978.2,0
759,France,Male,42,121409.06,0
516,Spain,Male,50,146145.93,1
711,France,Female,38,14374.86,1
512,Spain,Male,33,94670.77,0
550,France,Male,37,179670.31,0
608,Spain,Female,41,199304.74,1
618,France,Male,34,151954.39,0
643,France,Male,45,142513.5,1
671,France,Male,45,158264.62,0
689,Germany,Male,33,169381.9,0
603,France,Male,31,169915.02,0
620,France,Female,41,88852.47,0
676,France,Female,34,40645.81,0
572,Germany,Male,26,60427.3,0
668,Germany,Male,47,157959.02,1
695,France,Male,46,133007.34,0
730,Spain,Female,33,176576.62,0
807,France,Male,43,34888.04,1
592,France,Male,54,28737.71,1
726,France,Female,31,98178.57,0
514,Spain,Male,30,125010.24,0
567,France,Male,42,167984.61,0
850,France,Male,33,4861.72,1
671,Germany,Male,45,108872.45,1
670,France,Male,37,198252.88,0
694,France,Female,30,26960.31,0
547,Germany,Female,39,85746.52,1
751,Germany,Male,50,77206.25,1
594,Germany,Female,29,61048.53,0
673,France,Male,72,111981.19,0
610,France,Male,40,62232.6,0
512,France,Female,37,156105.03,0
767,Germany,Male,20,150135.38,0
585,France,Female,67,93146.11,0
763,Germany,Male,42,33462.94,1
712,France,Female,29,144375,0
539,Germany,Female,43,55803.96,1
668,France,Female,46,89048.46,1
703,France,Male,28,162812.16,0
662,Spain,Male,38,136259.65,0
725,Germany,Female,39,124052.97,0
703,France,Male,37,74158.8,0
659,Germany,Male,67,45071.09,1
523,Spain,Male,34,62030.06,0
635,France,Female,40,131953.23,1
772,Germany,Male,26,79414,0
545,France,Female,26,199638.56,0
634,Germany,Male,24,157577.29,0
739,Germany,Male,54,134420.75,1
771,Germany,Female,36,99805.99,0
587,Spain,Female,34,97932.68,0
681,France,Female,79,170968.99,0
544,Germany,Male,37,57558.95,0
696,Spain,Male,28,176713.47,0
766,Spain,Male,41,34283.23,0
727,France,Male,34,198637.34,0
671,Germany,Female,34,156917.12,0
693,France,Female,30,50457.2,0
850,Germany,Male,38,140075.55,0
732,Germany,Male,42,65323.11,0
726,Spain,Female,48,64323.24,0
557,France,Female,32,14956.44,0
682,France,Female,26,111879.21,0
738,Spain,Male,31,18606.23,0
531,Spain,Female,36,123137.01,0
498,France,Male,34,148528.24,0
651,France,Male,36,13898.31,0
549,Spain,Female,39,81259.25,1
791,Germany,Female,35,161051.75,0
650,Spain,Male,41,191599.67,0
733,Germany,Male,34,48559.19,1
811,Germany,Female,34,186339.74,0
707,France,Male,30,33159.37,0
712,Germany,Male,28,93883.53,0
706,Spain,Female,37,110899.3,0
756,France,Male,62,11199.04,1
777,France,Female,53,189992.97,0
646,France,Male,35,164255.69,0
714,France,Male,46,152167.79,1
782,France,Male,39,33949.67,0
775,Spain,Male,29,68143.93,0
479,Germany,Male,35,47251.79,1
807,France,Male,42,25885.72,0
799,France,Female,22,192633.85,0
675,France,Male,40,34577.36,0
602,Spain,Male,29,161229.84,0
475,France,Female,32,100816.29,0
744,Spain,Female,26,181694.44,0
588,Spain,Male,34,79078.91,0
703,Germany,Male,42,137316.32,0
747,Spain,Female,41,194926.86,0
583,France,Male,27,51285.49,0
750,Spain,Female,34,150401.53,1
681,France,Male,38,112491.96,0
773,France,Male,25,73656.38,0
714,France,Female,31,106636.89,0
687,Spain,Female,44,155853.52,1
511,France,Male,58,162599.51,0
627,France,Male,33,103737.82,0
694,France,Female,31,160990.27,0
616,Spain,Female,36,15462.84,0
687,France,Male,35,10334.05,0
712,France,Female,33,190686.16,0
553,France,Male,33,94440.45,0
667,France,Male,31,28257.63,0
731,France,Male,43,170034.95,1
629,Germany,Male,35,31824.29,0
614,France,Male,50,127166.49,1
438,Germany,Male,31,44937.01,0
652,France,Female,80,188603.07,0
729,Germany,Male,30,145111.37,0
642,France,Male,38,171463.83,0
806,Germany,Female,59,182822.5,0
744,Spain,Male,36,87213.33,0
474,Spain,Male,37,57175.32,0
559,France,Male,49,120540.83,1
706,Spain,Male,42,28714.34,0
628,Spain,Female,22,85426.28,0
429,France,Male,24,46170.75,0
525,Spain,Female,57,64448.36,0
680,France,Female,30,16278.97,0
749,France,Male,40,182855.42,1
763,France,Female,31,50404.72,0
734,France,Male,30,107640.25,0
716,France,Male,35,134132.65,0
594,France,Male,35,103480.69,0
644,France,Female,46,108761.05,1
671,Germany,Male,35,179012.3,0
664,Germany,Male,26,95145.14,0
656,France,Male,50,72143.44,0
667,Spain,Female,40,19162.89,0
663,Germany,Male,44,144680.18,0
584,Germany,Female,30,177772.03,1
626,Spain,Female,37,5597.94,0
485,France,Male,29,116828.51,1
659,Germany,Female,32,174652.51,0
649,France,Male,33,2010.98,0
805,Spain,Female,39,14109.85,1
716,Germany,Female,39,43527.4,1
642,Germany,Female,40,86099.23,1
659,France,Male,31,161574.19,0
545,Spain,Female,47,38970.14,0
543,France,Male,22,127587.22,0
718,France,Female,25,30380.12,0
840,France,Female,43,90908.95,0
630,Germany,Female,34,138275.01,0
643,Germany,Male,59,32171.79,0
654,Germany,Female,32,126143.23,0
582,France,Male,39,129892.93,0
659,Spain,Male,32,102416.84,0
762,Spain,Male,39,18719.67,0
568,Spain,Female,32,61936.22,0
670,Spain,Male,25,78358.94,0
613,France,Female,45,147224.27,0
539,France,Male,30,160979.66,0
850,Spain,Female,57,132298.49,0
522,Spain,Male,34,174248.52,1
737,France,Male,41,123547.28,0
520,France,Male,58,32790.02,0
706,Spain,Male,28,181543.67,0
643,Germany,Female,45,2319.96,1
648,France,Female,50,189543.19,0
443,Germany,Female,29,10940.4,0
640,France,Male,68,199493.38,0
628,Spain,Female,33,188193.25,0
540,Germany,Female,42,172572.64,0
460,Germany,Female,35,189339.6,0
636,Germany,Male,34,53512.16,0
593,France,Female,29,34004.44,0
801,Spain,Male,42,10598.29,0
640,Germany,Female,75,113428.77,0
611,Germany,Male,31,183487.98,0
802,Germany,Male,31,187658.09,0
717,Germany,Male,35,172459.39,0
769,France,Female,39,21016,0
745,Germany,Male,45,122381.02,1
572,Spain,Male,35,128123.66,0
629,Spain,Female,30,19570.63,0
687,Spain,Female,39,188150.6,1
483,France,Female,50,111020.24,0
690,France,Male,36,123775.15,0
492,Germany,Female,30,146700.22,0
709,Germany,Male,28,145251.35,0
705,Germany,Male,44,82463.69,0
560,France,Female,66,15928.49,0
611,Spain,Male,46,45886.33,0
730,Spain,Male,62,186489.95,0
709,Spain,Female,45,162922.65,0
544,France,Female,21,9262.77,0
712,Germany,Female,29,84932.4,0
752,Germany,Male,38,71557.12,0
648,Spain,Male,46,77405.95,1
556,Spain,Male,38,417.41,1
594,Spain,Female,24,71405.17,0
645,Germany,Female,37,153400.24,0
557,France,Male,33,371.05,0
547,Germany,Male,32,67789.99,0
701,France,Female,39,145894.9,0
616,France,Female,66,183840.51,1
605,France,Male,52,108887.44,0
593,Germany,Female,38,154071.27,0
751,Spain,Male,52,179291.85,0
443,Spain,Male,36,56937.43,0
685,France,Male,23,112239.03,0
718,France,Male,36,45909.87,0
538,Spain,Female,49,173779.25,1
611,Spain,Female,37,125696.26,0
668,Germany,Male,37,159585.61,0
537,Germany,Female,41,106761.47,0
709,Spain,Male,23,129590.18,0
850,France,Male,38,80006.65,0
745,Spain,Female,31,140451.52,0
693,Germany,Female,41,187929.43,1
795,Spain,Male,35,167155.36,0
626,Spain,Male,26,191420.71,0
487,Germany,Female,61,11384.45,1
556,France,Female,39,94898.1,0
643,France,Female,46,106781.59,0
605,France,Female,28,159508.52,0
756,Germany,Female,60,93524.19,1
586,France,Female,38,87168.46,0
535,Germany,Male,40,8128.32,1
678,France,Female,35,125518.32,0
596,France,Male,39,48963.59,0
648,France,Male,26,98368.24,0
492,Germany,Male,39,148584.61,0
702,France,Male,45,27474.81,0
486,Germany,Female,40,76192.21,0
568,Germany,Male,40,134600.94,1
619,Germany,Male,57,72467.99,1
724,Germany,Male,41,199645.45,0
548,Germany,Female,33,42749.85,0
545,Germany,Female,37,136050.44,1
683,France,Male,33,73564.44,0
762,France,Female,51,85578.63,0
627,Germany,Female,30,129826.89,0
516,France,Male,35,119666,0
800,France,Female,38,68052.08,0
464,Germany,Female,42,164104.74,0
626,France,Female,35,80190.36,0
790,France,Female,31,84126.75,0
534,France,Female,34,70179,0
745,France,Male,46,118024.1,0
553,Spain,Male,47,145704.19,1
748,France,Female,26,183049.41,0
722,France,Male,37,120906.83,0
501,France,Male,40,100433.83,0
675,France,Female,38,138777,1
778,Spain,Female,47,124694.99,0
494,Germany,Female,38,40084.32,0
850,France,Male,40,119232.33,0
592,Spain,Male,31,43921.36,0
590,Spain,Female,44,62222.81,0
758,France,Female,39,56577,0
506,France,Male,36,164253.35,0
733,France,Male,33,7666.73,0
711,France,Male,38,68487.51,0
514,Germany,Male,43,199273.98,1
637,Spain,Male,37,186062.36,0
468,Germany,Male,29,195711.16,0
539,France,Male,39,36692.17,0
509,Spain,Female,25,106920.57,0
662,France,Female,32,48725.68,1
818,Spain,Male,26,167036.94,0
608,France,Male,33,68777.26,0
850,Spain,Female,32,18924.92,0
816,Germany,Female,38,71905.77,1
536,France,Male,35,64833.28,0
753,France,Male,35,184843.77,0
631,Spain,Male,27,176730.02,0
703,France,Male,37,20629.4,1
774,France,Male,26,28415.36,0
785,France,Male,28,77231.27,0
571,France,Female,33,102750.7,0
621,Germany,Male,46,34580.8,1
605,Germany,Female,31,183598.77,0
611,France,Female,40,147358.27,0
569,France,Male,38,108469.2,0
658,France,Male,29,20612.82,0
788,Spain,Male,34,181196.76,0
525,France,Female,23,160249.1,0
798,France,Male,37,110783.28,0
486,Germany,Male,37,144995.33,0
615,Spain,Male,61,150227.85,1
730,France,Female,35,53718.28,0
641,France,Male,37,75248.3,0
542,France,Male,39,14353.43,1
692,France,Male,30,130486.57,0
714,Germany,Female,55,100127.71,0
591,Spain,Male,29,196356.17,0
710,France,Female,41,9983.88,0
639,France,Female,38,118974.77,0
531,France,Female,47,194998.34,1
673,France,Female,38,134901.34,1
765,Germany,Male,36,72924.56,0
622,France,Female,32,101057.95,0
806,France,Male,40,142838.64,0
757,Germany,Male,26,127059.04,0
570,France,Female,58,116503.92,1
555,Spain,Male,32,54405.79,0
692,France,Male,54,88721.84,0
774,France,Male,60,74135.48,1
638,Spain,Male,44,111346.22,0
543,Spain,Female,41,194902.16,0
584,France,Male,31,31474.27,0
691,Germany,Male,30,21198.39,0
684,Germany,Female,40,186976.6,0
733,France,Male,22,117202.19,0
599,Spain,Female,37,143739.29,0
524,Germany,Female,31,161811.23,0
632,Germany,Female,38,98090.91,0
735,Spain,Male,34,71095.41,0
734,France,Male,34,13107.24,0
605,France,Female,51,67110.59,1
793,Spain,Male,38,88225.02,0
468,France,Female,56,62256.87,1
779,Germany,Male,37,135925.72,0
698,France,Male,48,177815.87,1
707,France,Male,58,126471.13,0
850,France,Female,35,188574.12,1
850,France,Male,56,119175.45,0
527,Spain,Male,37,139093.73,0
696,Germany,Male,32,115916.55,0
661,France,Male,48,96463.25,0
776,France,Female,31,112349.51,0
701,France,Male,43,165303.79,0
610,France,Male,26,166031.08,0
572,Germany,Female,48,38411.79,1
673,France,Male,30,77783.35,0
519,Spain,Female,57,29871.79,0
702,Spain,Female,26,59747.63,0
729,France,Male,32,79919.13,0
543,Spain,Male,35,76773.53,0
550,France,Female,40,54018.93,0
608,France,Male,59,70649.64,1
639,Germany,Male,35,59093.39,0
686,Spain,Male,34,127569.8,0
564,Germany,Female,62,18260.98,1
745,Germany,Female,28,73275.96,1
833,France,Male,37,136129.49,0
622,France,Male,26,153237.59,0
597,France,Female,42,106841.12,0
721,Spain,Male,51,109078.35,1
504,France,Female,49,87822.14,1
842,Spain,Female,44,126644.98,0
587,France,Male,38,47414.15,0
479,Germany,Female,30,41879.99,0
508,France,Male,49,75808.1,0
749,France,Male,24,47911.03,0
721,Germany,Female,36,28737.78,0
674,Germany,Male,47,2079.2,1
685,Spain,Female,25,121562.33,0
417,France,Male,34,55003.79,0
574,Germany,Male,33,193131.42,0
590,Spain,Female,51,191932.27,1
587,Germany,Male,40,159418.1,0
598,Germany,Male,41,191468.78,1
741,Spain,Male,53,38913.68,0
850,Spain,Female,70,705.18,0
584,Germany,Female,29,138490.03,0
650,Spain,Male,61,82970.69,0
607,Spain,Male,36,76744.72,0
509,France,Female,46,71244.59,1
689,Spain,Female,38,12182.15,0
543,France,Male,36,141210.5,0
438,Spain,Female,54,191763.07,1
687,Spain,Female,63,37938.74,0
737,Germany,Male,31,74890.58,0
761,France,Male,31,166698.18,0
601,France,Male,44,62678.53,0
651,France,Male,45,67740.08,1
745,France,Male,35,161519.77,0
648,Spain,Female,49,159835.78,1
848,Spain,Male,40,30876.84,0
546,France,Female,27,14858.1,0
439,Spain,Female,32,75685.97,0
755,France,Male,30,144183.1,0
593,France,Female,41,65170.66,0
701,France,Male,39,82526.92,0
701,Spain,Male,36,169161.46,0
607,Spain,Female,33,109291.39,1
586,Spain,Female,57,6057.81,0
547,Germany,Female,30,77077.14,0
647,Germany,Female,51,54954.51,1
760,France,Female,51,179614.8,1
621,Spain,Male,53,35588.07,1
725,France,Male,44,117356.14,0
526,France,Male,36,160696.72,0
519,Spain,Female,47,147278.43,1
713,Germany,Female,38,56594.36,1
700,France,Male,38,1299.75,0
666,France,Female,34,25095.03,0
630,Spain,Male,32,146326.45,0
779,Spain,Female,26,38296.21,0
611,Germany,Female,41,164061.6,0
685,Spain,Male,43,107811.28,0
646,Germany,Male,39,30838.51,0
683,Germany,Female,57,9221.78,1
484,Germany,Female,34,33738.27,0
601,France,Female,43,110916.15,1
762,Spain,Female,26,169654.57,0
687,France,Female,72,69829.4,0
566,France,Male,30,54926.51,1
702,France,Male,37,94728.49,0
601,France,Male,29,80393.27,0
699,France,Male,53,111307.98,0
584,France,Male,28,19834.32,0
699,France,Male,35,78397.24,0
698,Germany,Female,51,86410.28,0
495,France,Male,30,172749.65,0
650,France,Female,27,1002.39,0
605,France,Female,64,13601.79,0
667,Spain,Male,38,77866.91,0
688,Germany,Male,26,175296.76,0
727,Spain,Female,31,121751.04,1
754,Spain,Male,39,89593.26,0
612,Germany,Female,62,193437.89,1
546,Spain,Male,42,86945,0
673,Spain,Female,37,183318.79,0
593,France,Male,35,71154.1,0
656,Spain,Female,40,151887.16,0
535,Germany,Female,53,75888.65,0
678,Germany,Male,36,89566.74,0
477,Spain,Female,48,26475.79,0
850,Spain,Male,35,126355.8,0
427,France,Male,29,93839.3,0
752,France,Male,49,7698.6,0
649,France,Male,47,145593.85,0
799,Spain,Female,28,45042.56,0
589,France,Female,61,61108.56,1
583,Germany,Female,54,57553.98,1
839,Spain,Female,33,62674.42,0
540,Germany,Male,44,12120.79,0
850,France,Male,31,50129.87,1
696,Spain,Female,51,55022.43,0
660,Spain,Female,33,117834.91,0
682,France,Male,48,168840.23,0
744,France,Female,43,24234.11,0
785,France,Female,36,190627.01,0
752,Spain,Male,48,156618.38,1
706,France,Female,29,42334.38,0
583,France,Female,27,110784.42,0
660,Germany,Female,39,173683,1
819,France,Female,39,27046.46,1
673,France,Female,34,20598.59,1
752,France,Female,30,104991.28,0
578,France,Male,38,8996.97,0
438,France,Female,36,64420.5,0
652,France,Male,38,145700.22,0
629,France,Female,49,196335.48,0
720,France,Male,52,14781.12,0
668,France,Male,42,108139.23,0
459,Germany,Male,48,19287.06,1
729,Spain,Male,31,9567.39,0
498,Germany,Male,25,132210.49,0
549,Spain,Male,25,21600.11,0
601,Germany,Female,54,199661.5,0
544,France,Male,64,124341.49,0
751,France,Female,30,15766.1,0
632,Germany,Female,41,33642.21,0
694,Spain,Male,57,117704.65,0
678,France,Male,31,58803.28,0
695,France,Male,46,137537.22,0
661,France,Female,41,131300.68,0
661,France,Male,33,84174.81,0
559,France,Female,31,160941.78,0
503,France,Male,29,143954.99,0
695,Spain,Male,46,56297.85,0
640,France,Female,42,8404.73,0
624,Germany,Female,48,30020.09,0
667,France,Male,42,58137.42,0
642,France,Male,26,47472.68,0
640,Spain,Female,32,19131.71,0
529,Spain,Male,35,187288.5,0
563,France,Female,39,17603.81,0
593,Spain,Female,38,67020.03,0
739,Germany,Male,45,147802.94,1
788,Spain,Female,70,41610.62,0
684,Spain,Female,38,44255.65,0
482,France,Male,55,78416.14,0
591,Spain,Male,58,137254.55,0
651,Germany,Female,41,151303.48,0
749,Germany,Female,40,86333.63,0
583,France,Male,24,89801.9,0
661,Spain,Male,42,29358.57,1
715,France,Female,31,181600.72,0
769,Germany,Female,45,124118.71,1
625,France,Female,51,38867.46,1
641,France,Female,36,31106.67,0
716,Germany,Male,27,67611.36,0
767,France,Male,43,77837.63,0
745,Germany,Male,36,6078.46,0
589,France,Male,34,177896.92,0
796,France,Female,45,123882.73,0
664,France,Male,57,15304.08,0
445,Spain,Male,62,76569.64,1
543,Germany,Female,57,120657.32,1
746,Spain,Male,36,16436.56,0
742,Germany,Male,33,107667.91,0
750,France,Female,32,95611.47,0
669,France,Male,30,19799.26,0
594,Spain,Female,49,123214.74,0
574,Spain,Male,36,71709.12,0
659,Germany,Male,36,149066.14,0
750,Germany,Male,40,20451.99,1
626,Germany,Male,35,32825.5,0
620,France,Male,42,6232.31,0
580,France,Female,35,10357.03,0
686,France,Female,34,147794.63,0
540,France,Male,48,116973.48,0
634,Germany,Male,35,129964.94,0
632,Spain,Male,38,92816.86,0
501,France,Female,41,172114.67,0
650,Spain,Female,25,16649.31,1
786,France,Male,34,144517.19,0
554,Germany,Female,37,182038.6,0
701,Spain,Female,42,24210.56,0
474,France,Male,45,172175.9,0
621,France,Female,43,47578.45,0
672,Spain,Female,56,150694.42,1
459,Spain,Female,42,177683.02,1
669,France,Male,23,66088.83,0
776,France,Female,38,169291.7,0
694,France,Male,36,117140.41,0
787,France,Female,42,79510.37,0
580,France,Male,37,77108.66,0
711,France,Female,25,9679.28,0
673,France,Female,40,81753.92,0
499,France,Female,57,131372.38,1
591,France,Male,24,25310.82,0
769,France,Female,25,187925.75,0
657,Spain,Male,31,98820.39,0
738,Germany,Male,43,64166.7,1
545,Germany,Female,60,176924.21,1
497,France,Male,47,90055.08,0
816,Spain,Male,67,72814.31,0
525,France,Male,36,168290.06,0
725,France,Male,46,161767.38,0
692,France,Female,28,44420.18,0
618,France,Female,24,37147.61,0
546,France,Male,24,125381.02,0
635,France,Male,29,149853.89,0
611,France,Female,49,161435.02,1
650,France,Male,60,102925.76,0
606,France,Male,40,70899.27,0
844,France,Male,18,145936.28,0
450,Spain,Female,46,54227.06,0
727,Spain,Male,38,59280.79,0
460,Germany,Male,46,126952.5,0
649,France,Male,41,130567.02,0
758,Germany,Female,47,73294.48,0
490,France,Female,35,3937.37,0
815,Germany,Male,37,2383.59,0
838,Spain,Female,39,14279.44,0
803,France,Male,31,141300.53,0
664,Germany,Female,36,78140.75,0
736,Spain,Female,28,117431.1,0
633,France,Female,37,72008.61,0
664,France,Male,58,60887.58,0
600,France,Female,43,194764.83,0
693,France,Female,35,88705.14,1
663,Germany,Female,36,35817.97,1
742,Germany,Female,21,31520.4,0
710,Germany,Male,43,157908.19,1
710,Spain,Female,27,142200.15,0
700,France,Female,82,182055.36,0
720,Germany,Male,60,157552.08,1
684,Spain,Male,41,120284.67,0
531,France,Female,63,24506.95,1
742,Germany,Female,36,47271.61,1
717,France,Male,31,41176.6,0
589,France,Male,32,9468.64,0
767,France,Male,36,123880.19,0
636,Germany,Male,49,158887.09,1
648,France,Male,33,117036.38,0
622,Germany,Female,58,120415.61,1
692,Spain,Male,28,16064.25,1
754,France,Male,28,52615.62,0
679,Spain,Female,35,121210.09,0
639,France,Male,27,192247.35,0
774,France,Female,28,68759.57,0
517,France,Male,41,75937.47,0
571,France,Female,35,84569.13,0
747,Germany,Male,58,190696.35,1
792,Spain,Male,36,67468.67,0
688,France,Male,26,104435.94,0
714,Germany,Male,42,47166.55,0
562,Spain,Female,35,119899.52,0
704,Spain,Male,48,173498.45,0
698,France,Male,36,93249.26,0
611,France,Male,49,142917.54,0
850,Germany,Female,48,111755.8,0
743,Germany,Female,34,108543.21,0
654,France,Male,29,180345.44,0
761,Germany,Male,36,99444.02,0
702,France,Female,46,109563.28,0
488,Germany,Male,32,92568.07,0
683,France,Female,35,37976.36,0
601,Germany,Female,42,103315.74,0
605,France,Male,52,173952.5,0
671,Germany,Female,44,34673.98,0
614,Germany,Female,31,46163.44,0
511,Spain,Female,29,140676.98,0
850,France,Male,39,151738.54,0
790,Spain,Female,46,14679.81,1
793,France,Female,33,175544.02,0
628,France,Male,69,181964.6,0
598,Germany,Male,53,136886.86,0
657,France,Female,37,122218.23,0
618,France,Female,35,180439.75,0
681,Spain,Male,65,190419.81,0
516,Spain,Female,33,58685.59,0
421,Germany,Male,28,89017.38,1
700,France,Female,26,50051.42,0
745,France,Male,25,146041.45,0
696,France,Male,29,191166.09,0
580,Germany,Female,42,103516.08,1
497,Spain,Male,27,164825.04,0
720,France,Female,43,172557.77,0
